measure,case,session,phase,outcome
WIF_ICPM,117,2,0,7
WIF_ICPM,117,3,0,14
WIF_ICPM,117,4,1,10
WIF_ICPM,117,5,1,25
WIF_ICPM,117,6,1,15
WIF_ICPM,117,7,1,12
WIF_ICPM,117,8,1,11
WIF_ICPM,117,9,1,9
WIF_ICPM,117,10,1,7
WIF_ICPM,117,11,1,4
WIF_ICPM,109,1,0,6
WIF_ICPM,109,2,0,6
WIF_ICPM,109,3,0,6
WIF_ICPM,109,4,1,7
WIF_ICPM,109,5,1,9
WIF_ICPM,109,6,1,4
WIF_ICPM,109,7,1,6
WIF_ICPM,109,8,1,6
WIF_ICPM,109,9,1,4
WIF_ICPM,109,10,1,4
WIF_ICPM,109,11,1,4
WIF_ICPM,109,12,1,6
WIF_ICPM,109,13,1,7
WIF_ICPM,109,14,1,3
WIF_ICPM,109,15,1,4
WIF_ICPM,109,16,1,4
WIF_ICPM,109,17,1,6
WIF_ICPM,110,1,0,6
WIF_ICPM,110,2,0,15
WIF_ICPM,110,3,0,10
WIF_ICPM,110,4,1,7
WIF_ICPM,110,5,1,7
WIF_ICPM,110,6,1,6
WIF_ICPM,110,7,1,3
WIF_ICPM,110,8,1,5
WIF_ICPM,110,9,1,7
WIF_ICPM,110,10,1,7
WIF_ICPM,110,11,1,6
WIF_ICPM,110,12,1,12
WIF_ICPM,27,1,0,8
WIF_ICPM,27,2,0,7
WIF_ICPM,27,3,0,9
WIF_ICPM,27,4,1,11
WIF_ICPM,27,5,1,22
WIF_ICPM,27,6,1,23
WIF_ICPM,27,7,1,13
WIF_ICPM,27,8,1,14
WIF_ICPM,27,9,1,12
WIF_ICPM,27,10,1,10
WIF_ICPM,27,11,1,7
WIF_ICPM,27,12,1,10
WIF_ICPM,27,13,1,10
WIF_ICPM,27,14,1,8
WIF_ICPM,15,1,0,9
WIF_ICPM,15,2,0,7
WIF_ICPM,15,3,0,8
WIF_ICPM,15,4,1,7
WIF_ICPM,15,5,1,9
WIF_ICPM,15,6,1,8
WIF_ICPM,15,7,1,5
WIF_ICPM,15,8,1,9
WIF_ICPM,15,9,1,9
WIF_ICPM,15,10,1,8
WIF_ICPM,15,11,1,7
WIF_ICPM,15,12,1,10
WIF_ICPM,15,13,1,8
WIF_ICPM,121,1,0,18
WIF_ICPM,121,2,0,14
WIF_ICPM,121,3,0,21
WIF_ICPM,121,4,1,16
WIF_ICPM,121,5,1,14
WIF_ICPM,121,6,1,16
WIF_ICPM,121,7,1,9
WIF_ICPM,121,8,1,21
WIF_ICPM,121,9,1,17
WIF_ICPM,13,1,0,8
WIF_ICPM,13,2,0,18
WIF_ICPM,13,3,0,12
WIF_ICPM,13,4,1,19
WIF_ICPM,13,5,1,18
WIF_ICPM,13,6,1,12
WIF_ICPM,13,7,1,13
WIF_ICPM,13,8,1,17
WIF_ICPM,13,9,1,12
WIF_ICPM,13,10,1,12
WIF_ICPM,13,11,1,12
WIF_ICPM,13,12,1,12
WIF_ICPM,13,13,1,9
WIF_ICPM,13,14,1,12
WIF_ICPM,13,15,1,6
WIF_ICPM,13,16,1,10
WIF_ICPM,13,17,1,10
WIF_ICPM,22,1,0,11
WIF_ICPM,22,2,0,9
WIF_ICPM,22,3,0,11
WIF_ICPM,22,4,0,7
WIF_ICPM,22,5,1,8
WIF_ICPM,22,6,1,9
WIF_ICPM,22,7,1,6
WIF_ICPM,22,8,1,7
WIF_ICPM,22,9,1,6
WIF_ICPM,22,10,1,7
WIF_ICPM,22,11,1,5
WIF_ICPM,22,12,1,4
FSF_CPM,14,1,0,16
FSF_CPM,14,2,0,9
FSF_CPM,14,3,0,5
FSF_CPM,14,4,0,13
FSF_CPM,14,5,1,13
FSF_CPM,14,6,1,11
FSF_CPM,14,7,1,19
FSF_CPM,14,8,1,11
FSF_CPM,14,9,1,14
FSF_CPM,14,10,1,15
FSF_CPM,14,11,1,10
FSF_CPM,14,12,1,21
FSF_CPM,14,13,1,17
FSF_CPM,14,14,1,18
FSF_CPM,14,15,1,15
FSF_CPM,14,16,1,24
FSF_CPM,24,1,0,0
FSF_CPM,24,2,0,0
FSF_CPM,24,3,0,0
FSF_CPM,24,4,1,0
FSF_CPM,24,5,1,0
FSF_CPM,24,6,1,2
FSF_CPM,24,7,1,4
FSF_CPM,24,8,1,0
FSF_CPM,25,1,0,4
FSF_CPM,25,2,0,1
FSF_CPM,25,3,0,0
FSF_CPM,25,4,1,0
FSF_CPM,25,5,1,0
FSF_CPM,25,6,1,0
FSF_CPM,25,7,1,0
FSF_CPM,25,8,1,0
FSF_CPM,25,9,1,0
FSF_CPM,25,10,1,0
FSF_CPM,25,11,1,0
FSF_CPM,25,12,1,0
FSF_CPM,25,13,1,0
FSF_CPM,25,14,1,0
FSF_CPM,25,15,1,0
FSF_CPM,102,1,0,0
FSF_CPM,102,2,0,0
FSF_CPM,102,3,0,0
FSF_CPM,102,4,1,0
FSF_CPM,102,5,1,2
FSF_CPM,102,6,1,0
FSF_CPM,102,7,1,0
FSF_CPM,102,8,1,0
FSF_CPM,102,9,1,1
FSF_CPM,102,10,1,1
FSF_CPM,102,11,1,2
FSF_CPM,102,12,1,0
FSF_CPM,102,13,1,0
FSF_CPM,102,14,1,0
FSF_CPM,102,15,1,0
FSF_CPM,106,1,0,0
FSF_CPM,106,2,0,0
FSF_CPM,106,3,0,0
FSF_CPM,106,4,0,0
FSF_CPM,106,5,1,2
FSF_CPM,106,6,1,0
FSF_CPM,106,7,1,0
FSF_CPM,106,8,1,0
FSF_CPM,106,9,1,0
FSF_CPM,106,10,1,0
FSF_CPM,106,11,1,0
FSF_CPM,106,12,1,0
FSF_CPM,106,13,1,0
FSF_CPM,106,14,1,0
FSF_CPM,106,15,1,0
FSF_CPM,106,16,1,0
FSF_CPM,106,17,1,0
FSF_CPM,106,18,1,0
FSF_CPM,107,1,0,0
FSF_CPM,107,2,0,0
FSF_CPM,107,3,0,0
FSF_CPM,107,4,1,6
FSF_CPM,107,5,1,6
FSF_CPM,107,6,1,4
FSF_CPM,107,7,1,3
FSF_CPM,107,8,1,0
FSF_CPM,107,9,1,8
FSF_CPM,107,10,1,0
FSF_CPM,107,11,1,4
FSF_CPM,107,12,1,2
FSF_CPM,107,13,1,4
FSF_CPM,108,1,0,2
FSF_CPM,108,2,0,6
FSF_CPM,108,3,0,9
FSF_CPM,108,4,0,9
FSF_CPM,108,5,0,14
FSF_CPM,108,6,0,9
FSF_CPM,108,7,1,12
FSF_CPM,108,8,1,11
FSF_CPM,108,9,1,9
FSF_CPM,108,10,1,14
FSF_CPM,108,11,1,13
FSF_CPM,108,12,1,0
FSF_CPM,108,13,1,11
FSF_CPM,108,14,1,3
FSF_CPM,108,15,1,6
FSF_CPM,108,16,1,7
FSF_CPM,113,1,0,0
FSF_CPM,113,2,0,1
FSF_CPM,113,3,0,1
FSF_CPM,113,4,1,2
FSF_CPM,113,5,1,0
FSF_CPM,113,6,1,3
FSF_CPM,113,7,1,0
FSF_CPM,113,8,1,0
FSF_CPM,113,9,1,0
FSF_CPM,113,10,1,2
FSF_CPM,113,11,1,5
FSF_CPM,113,12,1,0
FSF_CPM,113,13,1,4
FSF_CPM,113,14,1,0
FSF_CPM,113,15,1,4
FSF_CPM,113,16,1,1
FSF_CPM,113,17,1,0
FSF_CPM,113,18,1,0
FSF_CPM,116,1,0,2
FSF_CPM,116,2,0,0
FSF_CPM,116,3,0,0
FSF_CPM,116,4,0,7
FSF_CPM,116,5,1,19
FSF_CPM,116,6,1,18
FSF_CPM,116,7,1,21
FSF_CPM,116,8,1,26
FSF_CPM,116,9,1,20
FSF_CPM,116,10,1,24
FSF_CPM,116,11,1,14
FSF_CPM,116,12,1,17
FSF_CPM,116,13,1,20
FSF_CPM,116,14,1,17
FSF_CPM,117,1,0,0
FSF_CPM,117,2,0,0
FSF_CPM,117,3,0,12
FSF_CPM,117,4,1,8
FSF_CPM,117,5,1,12
FSF_CPM,117,6,1,9
FSF_CPM,117,7,1,0
FSF_CPM,117,8,1,11
FSF_CPM,117,9,1,14
FSF_CPM,117,10,1,17
FSF_CPM,117,11,1,17
FSF_CPM,109,1,0,0
FSF_CPM,109,2,0,1
FSF_CPM,109,3,0,0
FSF_CPM,109,4,1,0
FSF_CPM,109,5,1,0
FSF_CPM,109,6,1,0
FSF_CPM,109,7,1,0
FSF_CPM,109,8,1,0
FSF_CPM,109,9,1,0
FSF_CPM,109,10,1,0
FSF_CPM,109,11,1,0
FSF_CPM,109,12,1,1
FSF_CPM,109,13,1,4
FSF_CPM,109,14,1,0
FSF_CPM,109,15,1,0
FSF_CPM,109,16,1,1
FSF_CPM,109,17,1,0
FSF_CPM,110,1,0,0
FSF_CPM,110,2,0,3
FSF_CPM,110,3,0,0
FSF_CPM,110,4,1,0
FSF_CPM,110,5,1,2
FSF_CPM,110,6,1,5
FSF_CPM,110,7,1,4
FSF_CPM,110,8,1,0
FSF_CPM,110,9,1,11
FSF_CPM,110,10,1,10
FSF_CPM,110,11,1,13
FSF_CPM,110,12,1,17
FSF_CPM,27,1,0,0
FSF_CPM,27,2,0,0
FSF_CPM,27,3,0,4
FSF_CPM,27,4,1,6
FSF_CPM,27,5,1,0
FSF_CPM,27,6,1,0
FSF_CPM,27,7,1,2
FSF_CPM,27,8,1,0
FSF_CPM,27,9,1,0
FSF_CPM,27,10,1,0
FSF_CPM,27,11,1,0
FSF_CPM,27,12,1,10
FSF_CPM,27,13,1,0
FSF_CPM,27,14,1,0
FSF_CPM,15,1,0,0
FSF_CPM,15,2,0,0
FSF_CPM,15,3,0,0
FSF_CPM,15,4,1,0
FSF_CPM,15,5,1,6
FSF_CPM,15,6,1,4
FSF_CPM,15,7,1,0
FSF_CPM,15,8,1,0
FSF_CPM,15,9,1,0
FSF_CPM,15,10,1,1
FSF_CPM,15,11,1,0
FSF_CPM,15,12,1,0
FSF_CPM,15,13,1,0
FSF_CPM,121,1,0,0
FSF_CPM,121,2,0,0
FSF_CPM,121,3,0,0
FSF_CPM,121,4,1,0
FSF_CPM,121,5,1,0
FSF_CPM,121,6,1,0
FSF_CPM,121,7,1,0
FSF_CPM,121,8,1,0
FSF_CPM,121,9,1,0
FSF_CPM,13,1,0,0
FSF_CPM,13,2,0,2
FSF_CPM,13,3,0,0
FSF_CPM,13,4,1,0
FSF_CPM,13,5,1,0
FSF_CPM,13,6,1,2
FSF_CPM,13,7,1,0
FSF_CPM,13,8,1,0
FSF_CPM,13,9,1,0
FSF_CPM,13,10,1,0
FSF_CPM,13,11,1,0
FSF_CPM,13,12,1,0
FSF_CPM,13,13,1,0
FSF_CPM,13,14,1,0
FSF_CPM,13,15,1,0
FSF_CPM,13,16,1,0
FSF_CPM,13,17,1,0
FSF_CPM,22,1,0,4
FSF_CPM,22,2,0,4
FSF_CPM,22,3,0,12
FSF_CPM,22,4,0,4
FSF_CPM,22,5,1,12
FSF_CPM,22,6,1,12
FSF_CPM,22,7,1,12
FSF_CPM,22,8,1,20
FSF_CPM,22,9,1,12
FSF_CPM,22,10,1,10
FSF_CPM,22,11,1,10
FSF_CPM,22,12,1,10
FSF_ICPM,14,1,0,18
FSF_ICPM,14,2,0,21
FSF_ICPM,14,3,0,25
FSF_ICPM,14,4,0,13
FSF_ICPM,14,5,1,21
FSF_ICPM,14,6,1,31
FSF_ICPM,14,7,1,21
FSF_ICPM,14,8,1,21
FSF_ICPM,14,9,1,16
FSF_ICPM,14,10,1,23
FSF_ICPM,14,11,1,20
FSF_ICPM,14,12,1,17
FSF_ICPM,14,13,1,23
FSF_ICPM,14,14,1,20
FSF_ICPM,14,15,1,21
FSF_ICPM,14,16,1,22
FSF_ICPM,24,1,0,10
FSF_ICPM,24,2,0,10
FSF_ICPM,24,3,0,10
FSF_ICPM,24,4,1,10
FSF_ICPM,24,5,1,10
FSF_ICPM,24,6,1,14
FSF_ICPM,24,7,1,18
FSF_ICPM,24,8,1,10
FSF_ICPM,25,1,0,4
FSF_ICPM,25,2,0,13
FSF_ICPM,25,3,0,10
FSF_ICPM,25,4,1,10
FSF_ICPM,25,5,1,10
FSF_ICPM,25,6,1,10
FSF_ICPM,25,7,1,10
FSF_ICPM,25,8,1,10
FSF_ICPM,25,9,1,10
FSF_ICPM,25,10,1,10
FSF_ICPM,25,11,1,10
FSF_ICPM,25,12,1,10
FSF_ICPM,25,13,1,10
FSF_ICPM,25,14,1,10
FSF_ICPM,25,15,1,10
FSF_ICPM,102,1,0,10
FSF_ICPM,102,2,0,10
FSF_ICPM,102,3,0,10
FSF_ICPM,102,4,1,10
FSF_ICPM,102,5,1,10
FSF_ICPM,102,6,1,10
FSF_ICPM,102,7,1,10
FSF_ICPM,102,8,1,10
FSF_ICPM,102,9,1,11
FSF_ICPM,102,10,1,13
FSF_ICPM,102,11,1,18
FSF_ICPM,102,12,1,10
FSF_ICPM,102,13,1,10
FSF_ICPM,102,14,1,10
FSF_ICPM,102,15,1,10
FSF_ICPM,106,1,0,10
FSF_ICPM,106,2,0,10
FSF_ICPM,106,3,0,10
FSF_ICPM,106,4,0,10
FSF_ICPM,106,5,1,20
FSF_ICPM,106,6,1,10
FSF_ICPM,106,7,1,10
FSF_ICPM,106,8,1,10
FSF_ICPM,106,9,1,10
FSF_ICPM,106,10,1,10
FSF_ICPM,106,11,1,10
FSF_ICPM,106,12,1,10
FSF_ICPM,106,13,1,10
FSF_ICPM,106,14,1,10
FSF_ICPM,106,15,1,10
FSF_ICPM,106,16,1,10
FSF_ICPM,106,17,1,10
FSF_ICPM,106,18,1,10
FSF_ICPM,107,1,0,10
FSF_ICPM,107,2,0,10
FSF_ICPM,107,3,0,10
FSF_ICPM,107,4,1,22
FSF_ICPM,107,5,1,12
FSF_ICPM,107,6,1,16
FSF_ICPM,107,7,1,23
FSF_ICPM,107,8,1,10
FSF_ICPM,107,9,1,22
FSF_ICPM,107,10,1,10
FSF_ICPM,107,11,1,22
FSF_ICPM,107,12,1,26
FSF_ICPM,107,13,1,24
FSF_ICPM,108,1,0,24
FSF_ICPM,108,2,0,10
FSF_ICPM,108,3,0,17
FSF_ICPM,108,4,0,13
FSF_ICPM,108,5,0,14
FSF_ICPM,108,6,0,11
FSF_ICPM,108,7,1,10
FSF_ICPM,108,8,1,15
FSF_ICPM,108,9,1,13
FSF_ICPM,108,10,1,14
FSF_ICPM,108,11,1,15
FSF_ICPM,108,12,1,10
FSF_ICPM,108,13,1,15
FSF_ICPM,108,14,1,23
FSF_ICPM,108,15,1,20
FSF_ICPM,108,16,1,25
FSF_ICPM,113,1,0,10
FSF_ICPM,113,2,0,11
FSF_ICPM,113,3,0,15
FSF_ICPM,113,4,1,20
FSF_ICPM,113,5,1,10
FSF_ICPM,113,6,1,15
FSF_ICPM,113,7,1,10
FSF_ICPM,113,8,1,10
FSF_ICPM,113,9,1,10
FSF_ICPM,113,10,1,16
FSF_ICPM,113,11,1,19
FSF_ICPM,113,12,1,10
FSF_ICPM,113,13,1,14
FSF_ICPM,113,14,1,10
FSF_ICPM,113,15,1,22
FSF_ICPM,113,16,1,25
FSF_ICPM,113,17,1,10
FSF_ICPM,113,18,1,10
FSF_ICPM,116,1,0,22
FSF_ICPM,116,2,0,10
FSF_ICPM,116,3,0,10
FSF_ICPM,116,4,0,23
FSF_ICPM,116,5,1,5
FSF_ICPM,116,6,1,18
FSF_ICPM,116,7,1,15
FSF_ICPM,116,8,1,12
FSF_ICPM,116,9,1,18
FSF_ICPM,116,10,1,16
FSF_ICPM,116,11,1,18
FSF_ICPM,116,12,1,15
FSF_ICPM,116,13,1,12
FSF_ICPM,116,14,1,17
FSF_ICPM,117,1,0,10
FSF_ICPM,117,2,0,10
FSF_ICPM,117,3,0,16
FSF_ICPM,117,4,1,14
FSF_ICPM,117,5,1,18
FSF_ICPM,117,6,1,21
FSF_ICPM,117,7,1,10
FSF_ICPM,117,8,1,19
FSF_ICPM,117,9,1,12
FSF_ICPM,117,10,1,17
FSF_ICPM,117,11,1,19
FSF_ICPM,109,1,0,10
FSF_ICPM,109,2,0,15
FSF_ICPM,109,3,0,10
FSF_ICPM,109,4,1,10
FSF_ICPM,109,5,1,10
FSF_ICPM,109,6,1,10
FSF_ICPM,109,7,1,10
FSF_ICPM,109,8,1,10
FSF_ICPM,109,9,1,10
FSF_ICPM,109,10,1,8
FSF_ICPM,109,11,1,6
FSF_ICPM,109,12,1,11
FSF_ICPM,109,13,1,16
FSF_ICPM,109,14,1,10
FSF_ICPM,109,15,1,10
FSF_ICPM,109,16,1,17
FSF_ICPM,109,17,1,10
FSF_ICPM,110,1,0,10
FSF_ICPM,110,2,0,15
FSF_ICPM,110,3,0,10
FSF_ICPM,110,4,1,10
FSF_ICPM,110,5,1,14
FSF_ICPM,110,6,1,11
FSF_ICPM,110,7,1,10
FSF_ICPM,110,8,1,10
FSF_ICPM,110,9,1,5
FSF_ICPM,110,10,1,10
FSF_ICPM,110,11,1,9
FSF_ICPM,110,12,1,1
FSF_ICPM,27,1,0,8
FSF_ICPM,27,2,0,10
FSF_ICPM,27,3,0,10
FSF_ICPM,27,4,1,16
FSF_ICPM,27,5,1,10
FSF_ICPM,27,6,1,10
FSF_ICPM,27,7,1,24
FSF_ICPM,27,8,1,10
FSF_ICPM,27,9,1,10
FSF_ICPM,27,10,1,10
FSF_ICPM,27,11,1,10
FSF_ICPM,27,12,1,10
FSF_ICPM,27,13,1,10
FSF_ICPM,27,14,1,10
FSF_ICPM,15,1,0,10
FSF_ICPM,15,2,0,10
FSF_ICPM,15,3,0,8
FSF_ICPM,15,4,1,10
FSF_ICPM,15,5,1,38
FSF_ICPM,15,6,1,26
FSF_ICPM,15,7,1,10
FSF_ICPM,15,8,1,5
FSF_ICPM,15,9,1,10
FSF_ICPM,15,10,1,13
FSF_ICPM,15,11,1,10
FSF_ICPM,15,12,1,10
FSF_ICPM,15,13,1,10
FSF_ICPM,121,1,0,10
FSF_ICPM,121,2,0,10
FSF_ICPM,121,3,0,10
FSF_ICPM,121,4,1,10
FSF_ICPM,121,5,1,10
FSF_ICPM,121,6,1,10
FSF_ICPM,121,7,1,10
FSF_ICPM,121,8,1,10
FSF_ICPM,121,9,1,10
FSF_ICPM,13,1,0,10
FSF_ICPM,13,2,0,14
FSF_ICPM,13,3,0,10
FSF_ICPM,13,4,1,10
FSF_ICPM,13,5,1,10
FSF_ICPM,13,6,1,20
FSF_ICPM,13,7,1,10
FSF_ICPM,13,8,1,10
FSF_ICPM,13,9,1,10
FSF_ICPM,13,10,1,10
FSF_ICPM,13,11,1,10
FSF_ICPM,13,12,1,10
FSF_ICPM,13,13,1,10
FSF_ICPM,13,14,1,10
FSF_ICPM,13,15,1,10
FSF_ICPM,13,16,1,10
FSF_ICPM,13,17,1,10
FSF_ICPM,22,1,0,12
FSF_ICPM,22,2,0,8
FSF_ICPM,22,3,0,10
FSF_ICPM,22,4,0,12
FSF_ICPM,22,5,1,8
FSF_ICPM,22,6,1,16
FSF_ICPM,22,7,1,14
FSF_ICPM,22,8,1,4
FSF_ICPM,22,9,1,12
FSF_ICPM,22,10,1,14
FSF_ICPM,22,11,1,8
FSF_ICPM,22,12,1,16
ORF_CPM,14,1,0,3
ORF_CPM,14,2,0,2
ORF_CPM,14,3,0,4
ORF_CPM,14,4,0,3
ORF_CPM,14,5,1,3
ORF_CPM,14,6,1,6
ORF_CPM,14,7,1,6
ORF_CPM,14,8,1,5
ORF_CPM,14,9,1,7
ORF_CPM,14,10,1,5
ORF_CPM,14,11,1,9
ORF_CPM,14,12,1,5
ORF_CPM,14,13,1,7
ORF_CPM,14,14,1,6
ORF_CPM,14,15,1,5
ORF_CPM,14,16,1,8
ORF_CPM,24,1,0,5
ORF_CPM,24,2,0,7
ORF_CPM,24,3,0,5
ORF_CPM,24,4,1,7
ORF_CPM,24,5,1,6
ORF_CPM,24,6,1,
ORF_CPM,24,7,1,8
ORF_CPM,24,8,1,5
ORF_CPM,25,1,0,0
ORF_CPM,25,2,0,0
ORF_CPM,25,3,0,0
ORF_CPM,25,4,1,0
ORF_CPM,25,5,1,0
ORF_CPM,25,6,1,0
ORF_CPM,25,7,1,
ORF_CPM,25,8,1,
ORF_CPM,25,9,1,
ORF_CPM,25,10,1,0
ORF_CPM,25,11,1,0
ORF_CPM,25,12,1,1
ORF_CPM,25,13,1,0
ORF_CPM,25,14,1,0
ORF_CPM,25,15,1,2
ORF_CPM,102,1,0,13
ORF_CPM,102,2,0,10
ORF_CPM,102,3,0,4
ORF_CPM,102,4,1,6
ORF_CPM,102,5,1,9
ORF_CPM,102,6,1,7
ORF_CPM,102,7,1,8
ORF_CPM,102,8,1,2
ORF_CPM,102,9,1,9
ORF_CPM,102,10,1,6
ORF_CPM,102,11,1,8
ORF_CPM,102,12,1,3
ORF_CPM,102,13,1,3
ORF_CPM,102,14,1,1
ORF_CPM,102,15,1,7
ORF_CPM,106,1,0,0
ORF_CPM,106,2,0,0
ORF_CPM,106,3,0,0
ORF_CPM,106,4,0,1
ORF_CPM,106,5,1,0
ORF_CPM,106,6,1,0
ORF_CPM,106,7,1,0
ORF_CPM,106,8,1,0
ORF_CPM,106,9,1,0
ORF_CPM,106,10,1,1
ORF_CPM,106,11,1,0
ORF_CPM,106,12,1,0
ORF_CPM,106,13,1,0
ORF_CPM,106,14,1,0
ORF_CPM,106,15,1,2
ORF_CPM,106,16,1,0
ORF_CPM,106,17,1,0
ORF_CPM,106,18,1,0
ORF_CPM,107,1,0,0
ORF_CPM,107,2,0,3
ORF_CPM,107,3,0,1
ORF_CPM,107,4,1,1
ORF_CPM,107,5,1,4
ORF_CPM,107,6,1,5
ORF_CPM,107,7,1,2
ORF_CPM,107,8,1,5
ORF_CPM,107,9,1,5
ORF_CPM,107,10,1,5
ORF_CPM,107,11,1,6
ORF_CPM,107,12,1,5
ORF_CPM,107,13,1,2
ORF_CPM,108,1,0,7
ORF_CPM,108,2,0,3
ORF_CPM,108,3,0,4
ORF_CPM,108,4,0,16
ORF_CPM,108,5,0,11
ORF_CPM,108,6,0,10
ORF_CPM,108,7,1,16
ORF_CPM,108,8,1,16
ORF_CPM,108,9,1,20
ORF_CPM,108,10,1,13
ORF_CPM,108,11,1,15
ORF_CPM,108,12,1,8
ORF_CPM,108,13,1,20
ORF_CPM,108,14,1,13
ORF_CPM,108,15,1,15
ORF_CPM,108,16,1,10
ORF_CPM,113,1,0,1
ORF_CPM,113,2,0,4
ORF_CPM,113,3,0,0
ORF_CPM,113,4,1,1
ORF_CPM,113,5,1,4
ORF_CPM,113,6,1,1
ORF_CPM,113,7,1,0
ORF_CPM,113,8,1,0
ORF_CPM,113,9,1,2
ORF_CPM,113,10,1,0
ORF_CPM,113,11,1,2
ORF_CPM,113,12,1,3
ORF_CPM,113,13,1,4
ORF_CPM,113,14,1,1
ORF_CPM,113,15,1,7
ORF_CPM,113,16,1,2
ORF_CPM,113,17,1,5
ORF_CPM,113,18,1,7
ORF_CPM,116,1,0,5
ORF_CPM,116,2,0,8
ORF_CPM,116,3,0,3
ORF_CPM,116,4,0,5
ORF_CPM,116,5,1,4
ORF_CPM,116,6,1,9
ORF_CPM,116,7,1,6
ORF_CPM,116,8,1,4
ORF_CPM,116,9,1,14
ORF_CPM,116,10,1,6
ORF_CPM,116,11,1,6
ORF_CPM,116,12,1,7
ORF_CPM,116,13,1,9
ORF_CPM,116,14,1,5
ORF_CPM,117,1,0,7
ORF_CPM,117,2,0,8
ORF_CPM,117,3,0,1
ORF_CPM,117,4,1,3
ORF_CPM,117,5,1,3
ORF_CPM,117,6,1,3
ORF_CPM,117,7,1,9
ORF_CPM,117,8,1,4
ORF_CPM,117,9,1,19
ORF_CPM,117,10,1,8
ORF_CPM,117,11,1,9
ORF_CPM,109,1,0,0
ORF_CPM,109,2,0,0
ORF_CPM,109,3,0,0
ORF_CPM,109,4,1,0
ORF_CPM,109,5,1,0
ORF_CPM,109,6,1,0
ORF_CPM,109,7,1,0
ORF_CPM,109,8,1,0
ORF_CPM,109,9,1,0
ORF_CPM,109,10,1,0
ORF_CPM,109,11,1,0
ORF_CPM,109,12,1,0
ORF_CPM,109,13,1,0
ORF_CPM,109,14,1,0
ORF_CPM,109,15,1,0
ORF_CPM,109,16,1,0
ORF_CPM,109,17,1,0
ORF_CPM,110,1,0,1
ORF_CPM,110,2,0,1
ORF_CPM,110,3,0,1
ORF_CPM,110,4,1,3
ORF_CPM,110,5,1,5
ORF_CPM,110,6,1,1
ORF_CPM,110,7,1,8
ORF_CPM,110,8,1,3
ORF_CPM,110,9,1,8
ORF_CPM,110,10,1,6
ORF_CPM,110,11,1,8
ORF_CPM,110,12,1,4
ORF_CPM,27,1,0,0
ORF_CPM,27,2,0,3
ORF_CPM,27,3,0,2
ORF_CPM,27,4,1,2
ORF_CPM,27,5,1,3
ORF_CPM,27,6,1,5
ORF_CPM,27,7,1,5
ORF_CPM,27,8,1,6
ORF_CPM,27,9,1,
ORF_CPM,27,10,1,5
ORF_CPM,27,11,1,8
ORF_CPM,27,12,1,8
ORF_CPM,27,13,1,9
ORF_CPM,27,14,1,
ORF_CPM,15,1,0,0
ORF_CPM,15,2,0,0
ORF_CPM,15,3,0,0
ORF_CPM,15,4,1,0
ORF_CPM,15,5,1,0
ORF_CPM,15,6,1,0
ORF_CPM,15,7,1,0
ORF_CPM,15,8,1,0
ORF_CPM,15,9,1,0
ORF_CPM,15,10,1,0
ORF_CPM,15,11,1,0
ORF_CPM,15,12,1,0
ORF_CPM,15,13,1,0
ORF_CPM,121,1,0,0
ORF_CPM,121,2,0,0
ORF_CPM,121,3,0,1
ORF_CPM,121,4,1,1
ORF_CPM,121,5,1,1
ORF_CPM,121,6,1,3
ORF_CPM,121,7,1,1
ORF_CPM,121,8,1,3
ORF_CPM,121,9,1,2
ORF_CPM,13,1,0,0
ORF_CPM,13,2,0,0
ORF_CPM,13,3,0,0
ORF_CPM,13,4,1,0
ORF_CPM,13,5,1,0
ORF_CPM,13,6,1,0
ORF_CPM,13,7,1,0
ORF_CPM,13,8,1,0
ORF_CPM,13,9,1,0
ORF_CPM,13,10,1,0
ORF_CPM,13,11,1,0
ORF_CPM,13,12,1,0
ORF_CPM,13,13,1,1
ORF_CPM,13,14,1,0
ORF_CPM,13,15,1,2
ORF_CPM,13,16,1,3
ORF_CPM,13,17,1,2
ORF_CPM,22,1,0,0
ORF_CPM,22,2,0,0
ORF_CPM,22,3,0,0
ORF_CPM,22,4,0,2
ORF_CPM,22,5,1,2
ORF_CPM,22,6,1,5
ORF_CPM,22,7,1,9
ORF_CPM,22,8,1,6
ORF_CPM,22,9,1,14
ORF_CPM,22,10,1,13
ORF_CPM,22,11,1,8
ORF_CPM,22,12,1,21
ORF_ICPM,14,1,0,13
ORF_ICPM,14,2,0,14
ORF_ICPM,14,3,0,12
ORF_ICPM,14,4,0,12
ORF_ICPM,14,5,1,15
ORF_ICPM,14,6,1,13
ORF_ICPM,14,7,1,13
ORF_ICPM,14,8,1,12
ORF_ICPM,14,9,1,9
ORF_ICPM,14,10,1,14
ORF_ICPM,14,11,1,10
ORF_ICPM,14,12,1,14
ORF_ICPM,14,13,1,8
ORF_ICPM,14,14,1,10
ORF_ICPM,14,15,1,13
ORF_ICPM,14,16,1,12
ORF_ICPM,24,1,0,13
ORF_ICPM,24,2,0,13
ORF_ICPM,24,3,0,15
ORF_ICPM,24,4,1,9
ORF_ICPM,24,5,1,9
ORF_ICPM,24,6,1,
ORF_ICPM,24,7,1,11
ORF_ICPM,24,8,1,8
ORF_ICPM,25,1,0,14
ORF_ICPM,25,2,0,8
ORF_ICPM,25,3,0,14
ORF_ICPM,25,4,1,13
ORF_ICPM,25,5,1,13
ORF_ICPM,25,6,1,9
ORF_ICPM,25,7,1,
ORF_ICPM,25,8,1,
ORF_ICPM,25,9,1,
